t,c1,c2,c3,psi,z
0.1,0,0,0,-1,-0.56
0.1,0,0,0,-1,-0.57
0.1,0,0,0,-1,-0.58
0.1,0,0,0,-1,-0.59
0.1,0,0,0,-1,-0.6
0.1,0,0,0,-1,-0.61
0.1,0,0,0,-1,-0.62
0.1,0,0,0,-1,-0.63
0.1,0,0,0,-1,-0.64
0.1,0,0,0,-1,-0.65
0.1,0,0,0,-1,-0.66
0.1,0,0,0,-1,-0.67
0.1,0,0,0,-1,-0.68
0.1,0,0,0,-1,-0.69
0.1,0,0,0,-1,-0.7
0.1,0,0,0,-1,-0.71
0.1,0,0,0,-1,-0.72
0.1,0,0,0,-1,-0.73
0.1,0,0,0,-1,-0.74
0.1,0,0,0,-1,-0.75
0.1,0,0,0,-1,-0.76
0.1,0,0,0,-1,-0.77
0.1,0,0,0,-1,-0.78
0.1,0,0,0,-1,-0.79
0.1,0,0,0,-1,-0.8
0.1,0,0,0,-1,-0.81
0.1,0,0,0,-1,-0.82
0.1,0,0,0,-1,-0.83
0.1,0,0,0,-1,-0.84
0.1,0,0,0,-1,-0.85
0.1,0,0,0,-1,-0.86
0.1,0,0,0,-1,-0.87
0.1,0,0,0,-1,-0.88
0.1,0,0,0,-1,-0.89
0.1,0,0,0,-1,-0.9
0.1,0,0,0,-1,-0.91
0.1,0,0,0,-1,-0.92
0.1,0,0,0,-1,-0.93
0.1,0,0,0,-1,-0.94
0.1,0,0,0,-1,-0.95
0.1,0,0,0,-1,-0.96
0.1,0,0,0,-1,-0.97
0.1,0,0,0,-1,-0.98
0.1,0,0,0,-1,-0.99
0.1,0,0,0,-1,-1
0.2,33.42,0.2338,13.45,-0.202,0
0.2,29.08,0.2741,11.73,-0.218,-0.01
0.2,24.63,0.2848,9.955,-0.237,-0.02
0.2,20.2,0.272,8.179,-0.261,-0.03
0.2,15.96,0.2424,6.471,-0.289,-0.04
0.2,12.04,0.2023,4.889,-0.323,-0.05
0.2,8.581,0.1575,3.49,-0.367,-0.06
0.2,5.678,0.113,2.312,-0.421,-0.07
0.2,3.401,0.07331,1.387,-0.489,-0.08
0.2,1.775,0.04149,0.725,-0.572,-0.09
0.2,0.7611,0.01942,0.3115,-0.667,-0.1
0.2,0.2479,0.006975,0.1017,-0.764,-0.11
0.2,0.0557,1.76E-03,0.02292,-0.853,-0.12
0.2,0.007856,2.84E-04,0.003247,-0.916,-0.13
0.2,0.0006436,2.77E-05,0.0002676,-0.954,-0.14
0.2,3.11E-05,1.66E-06,1.31E-05,-0.976,-0.15
0.2,9.75E-07,6.64E-08,4.15E-07,-0.988,-0.16
0.2,2.18E-08,1.92E-09,9.43E-09,-0.994,-0.17
0.2,3.85E-10,0,1.71E-10,-0.997,-0.18
0.2,0,0,0,-0.999,-0.19
0.2,0,0,0,-0.999,-0.2
0.2,0,0,0,-1,-0.21
0.2,0,0,0,-1,-0.22
0.2,0,0,0,-1,-0.23
0.2,0,0,0,-1,-0.24
0.2,0,0,0,-1,-0.25
0.2,0,0,0,-1,-0.26
0.2,0,0,0,-1,-0.27
0.2,0,0,0,-1,-0.28
0.2,0,0,0,-1,-0.29
0.2,0,0,0,-1,-0.3
0.2,0,0,0,-1,-0.31
0.2,0,0,0,-1,-0.32
0.2,0,0,0,-1,-0.33
0.2,0,0,0,-1,-0.34
0.2,0,0,0,-1,-0.35
0.2,0,0,0,-1,-0.36
0.2,0,0,0,-1,-0.37
0.2,0,0,0,-1,-0.38
0.2,0,0,0,-1,-0.39
0.2,0,0,0,-1,-0.4
0.2,0,0,0,-1,-0.41
0.2,0,0,0,-1,-0.42
0.2,0,0,0,-1,-0.43
0.2,0,0,0,-1,-0.44
0.2,0,0,0,-1,-0.45
0.2,0,0,0,-1,-0.46
0.2,0,0,0,-1,-0.47
0.2,0,0,0,-1,-0.48
0.2,0,0,0,-1,-0.49
0.2,0,0,0,-1,-0.5
0.2,0,0,0,-1,-0.51
0.2,0,0,0,-1,-0.52
0.2,0,0,0,-1,-0.53
0.2,0,0,0,-1,-0.54
0.2,0,0,0,-1,-0.55
0.2,0,0,0,-1,-0.56
0.2,0,0,0,-1,-0.57
0.2,0,0,0,-1,-0.58
0.2,0,0,0,-1,-0.59
0.2,0,0,0,-1,-0.6
0.2,0,0,0,-1,-0.61
0.2,0,0,0,-1,-0.62
0.2,0,0,0,-1,-0.63
0.2,0,0,0,-1,-0.64
0.2,0,0,0,-1,-0.65
0.2,0,0,0,-1,-0.66
0.2,0,0,0,-1,-0.67
0.2,0,0,0,-1,-0.68
0.2,0,0,0,-1,-0.69
0.2,0,0,0,-1,-0.7
0.2,0,0,0,-1,-0.71
0.2,0,0,0,-1,-0.72
0.2,0,0,0,-1,-0.73
0.2,0,0,0,-1,-0.74
0.2,0,0,0,-1,-0.75
0.2,0,0,0,-1,-0.76
0.2,0,0,0,-1,-0.77
0.2,0,0,0,-1,-0.78
0.2,0,0,0,-1,-0.79
0.2,0,0,0,-1,-0.8
0.2,0,0,0,-1,-0.81
0.2,0,0,0,-1,-0.82
0.2,0,0,0,-1,-0.83
0.2,0,0,0,-1,-0.84
0.2,0,0,0,-1,-0.85
0.2,0,0,0,-1,-0.86
0.2,0,0,0,-1,-0.87
0.2,0,0,0,-1,-0.88
0.2,0,0,0,-1,-0.89
0.2,0,0,0,-1,-0.9
0.2,0,0,0,-1,-0.91
0.2,0,0,0,-1,-0.92
0.2,0,0,0,-1,-0.93
0.2,0,0,0,-1,-0.94
0.2,0,0,0,-1,-0.95
0.2,0,0,0,-1,-0.96
0.2,0,0,0,-1,-0.97
0.2,0,0,0,-1,-0.98
0.2,0,0,0,-1,-0.99
0.2,0,0,0,-1,-1
0.3,36.84,0.3574,14.87,-0.172,0
0.3,33.35,0.4277,13.5,-0.181,-0.01
0.3,29.68,0.4636,12.04,-0.192,-0.02
0.3,25.92,0.4701,10.54,-0.205,-0.03
0.3,22.15,0.4523,9.027,-0.219,-0.04
0.3,18.48,0.4161,7.546,-0.237,-0.05
0.3,15,0.3669,6.135,-0.258,-0.06
0.3,11.79,0.3102,4.832,-0.282,-0.07
0.3,8.932,0.2509,3.665,-0.312,-0.08
0.3,6.466,0.1931,2.657,-0.348,-0.09
0.3,4.428,0.1403,1.823,-0.392,-0.1
0.3,2.827,0.09501,1.166,-0.446,-0.11
0.3,1.647,0.0588,0.6804,-0.511,-0.12
0.3,0.8506,0.03238,0.3522,-0.588,-0.13
0.3,0.3734,0.01524,0.155,-0.673,-0.14
0.3,0.1323,0.005834,0.05508,-0.759,-0.15
0.3,0.03551,1.71E-03,0.01484,-0.839,-0.16
0.3,0.006762,3.61E-04,0.002839,-0.899,-0.17
0.3,0.0008532,5.16E-05,0.0003606,-0.939,-0.18
